epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.5782,1.50398,3.14738,1.41,0.003,0.9,0.73151,0.51838,1.11087,3.55373,1.30239,0.00018,0.00018,0.00018
2,101.793,1.52205,2.36581,1.3523,0.00283,0.85,0.69078,0.47525,1.23092,3.41076,1.35411,0.000364952,0.000364952,0.000364952
3,150.637,1.44837,2.11936,1.34445,0.003,0.9,0.47739,0.18924,2.21539,4.43043,2.03629,0.000534064,0.000534064,0.000534064
4,198.746,1.41712,2.09006,1.38723,0.00317,0.95,0.63427,0.34358,1.4913,3.68224,1.57211,0.000687336,0.000687336,0.000687336
5,247.504,1.44997,2.1709,1.4087,0.83794,0.55,0.66432,0.40701,1.2917,3.33467,1.40067,0.000824768,0.000824768,0.000824768
6,296.399,1.59351,2.34772,1.40232,1,0.44445,0.72732,0.47573,1.19757,3.10588,1.30019,0.00094636,0.00094636,0.00094636
7,345.229,1.52012,2.27594,1.36056,1,0.44445,0.72732,0.47573,1.19757,3.10588,1.30019,0.00105211,0.00105211,0.00105211
8,394.062,1.41277,2.2849,1.38969,0.6331,0.69035,0.73709,0.52228,1.24407,2.91043,1.24464,0.00114202,0.00114202,0.00114202
9,442.783,1.48937,2.29705,1.32768,0.96452,0.775,0.88398,0.60061,1.25486,2.48152,1.29388,0.0012161,0.0012161,0.0012161
10,491.188,1.36975,1.94585,1.2854,0.96452,0.775,0.88398,0.60061,1.25486,2.48152,1.29388,0.00127433,0.00127433,0.00127433
11,539.686,1.44441,2.05493,1.32274,0.9636,0.825,0.90298,0.58747,1.28496,2.14969,1.34831,0.001208,0.001208,0.001208
12,590.404,1.3992,1.94132,1.296,0.99003,0.8,0.88018,0.59981,1.2736,2.139,1.3287,0.0011288,0.0011288,0.0011288
13,639.202,1.33931,1.90703,1.38776,0.99003,0.8,0.88018,0.59981,1.2736,2.139,1.3287,0.0010496,0.0010496,0.0010496
14,691.67,1.32685,1.94711,1.25662,0.97199,0.86778,0.90208,0.54061,1.32898,2.01367,1.38166,0.0009704,0.0009704,0.0009704
15,740.456,1.32513,2.18094,1.27008,0.97293,0.89858,0.95789,0.60798,1.21944,1.89827,1.20419,0.0008912,0.0008912,0.0008912
16,788.51,1.11775,1.97361,1.19833,0.97293,0.89858,0.95789,0.60798,1.21944,1.89827,1.20419,0.000812,0.000812,0.000812
17,836.454,1.08824,1.92118,1.1364,0.92634,0.94327,0.95258,0.64532,1.07757,1.87194,1.13588,0.0007328,0.0007328,0.0007328
18,884.535,1.035,1.863,1.09079,0.92634,0.94327,0.95258,0.64532,1.07757,1.87194,1.13588,0.0006536,0.0006536,0.0006536
19,932.677,1.01198,1.77913,1.06658,0.99704,0.9,0.94621,0.75839,0.86162,1.6933,1.04118,0.0005744,0.0005744,0.0005744
20,980.799,0.97492,1.78031,1.10812,0.99809,0.9,0.96224,0.75776,0.82645,1.67757,1.00893,0.0004952,0.0004952,0.0004952
21,1028.79,1.00143,1.82012,1.11005,0.99809,0.9,0.96224,0.75776,0.82645,1.67757,1.00893,0.000416,0.000416,0.000416
22,1077.77,0.9182,1.69376,1.00395,1,0.92324,0.96387,0.76628,0.79714,1.6459,0.99905,0.0003368,0.0003368,0.0003368
23,1125.51,0.94449,1.70731,1.03802,1,0.94701,0.98092,0.78311,0.77183,1.58172,0.98475,0.0002576,0.0002576,0.0002576
24,1173.42,0.95219,1.71022,1.01596,1,0.94701,0.98092,0.78311,0.77183,1.58172,0.98475,0.0001784,0.0001784,0.0001784
25,1224.13,0.86307,1.60591,1.02377,0.97432,0.94855,0.98027,0.79155,0.7518,1.54432,0.97813,9.92e-05,9.92e-05,9.92e-05
